MXEF Index,
Date,PX_LAST
#NAME?,332.53
1/11/2002,325.83
1/18/2002,320.6
1/25/2002,328.45
2/1/2002,327.03
2/8/2002,324.85
2/15/2002,334.42
2/22/2002,326.82
3/1/2002,336.7
3/8/2002,346.71
3/15/2002,346.7
3/22/2002,351.31
3/29/2002,351.43
4/5/2002,354.58
4/12/2002,352.31
4/19/2002,363.42
4/26/2002,358.17
5/3/2002,354.06
5/10/2002,349.25
5/17/2002,360.73
5/24/2002,356.52
5/31/2002,346.28
6/7/2002,340.31
6/14/2002,336.24
6/21/2002,324.11
6/28/2002,319.75
7/5/2002,326.21
7/12/2002,328.12
7/19/2002,321.25
7/26/2002,292.32
8/2/2002,293.25
8/9/2002,292.81
8/16/2002,298.19
8/23/2002,301.54
8/30/2002,298.89
9/6/2002,289.1
9/13/2002,292.52
9/20/2002,281.26
9/27/2002,270.7
10/4/2002,269.62
10/11/2002,255.98
10/18/2002,276.85
10/25/2002,279.99
11/1/2002,282.09
11/8/2002,292.75
11/15/2002,292.44
11/22/2002,297.33
11/29/2002,302.36
12/6/2002,299.28
12/13/2002,298.58
12/20/2002,301.89
12/27/2002,295.99
1/3/2003,299.98
1/10/2003,302.86
1/17/2003,301.96
1/24/2003,293.9
1/31/2003,290.44
2/7/2003,284.59
2/14/2003,279.25
2/21/2003,286.75
2/28/2003,281.29
3/7/2003,274.43
3/14/2003,275.25
3/21/2003,282.19
3/28/2003,277.32
4/4/2003,281.02
4/11/2003,284.7
4/18/2003,297.28
4/25/2003,285.77
5/2/2003,296.71
5/9/2003,302.46
5/16/2003,303.02
5/23/2003,307.08
5/30/2003,315.44
6/6/2003,324.48
6/13/2003,330.16
6/20/2003,336.28
6/27/2003,333.57
7/4/2003,344.82
7/11/2003,346.42
7/18/2003,344.54
7/25/2003,350.41
8/1/2003,353.23
8/8/2003,349.61
8/15/2003,362.18
8/22/2003,372.85
8/29/2003,375.52
9/5/2003,384.73
9/12/2003,383.97
9/19/2003,382.83
9/26/2003,376.66
10/3/2003,390.32
10/10/2003,407.88
10/17/2003,409.65
10/24/2003,400.68
10/31/2003,409.11
11/7/2003,416.47
11/14/2003,417.67
11/21/2003,403.72
11/28/2003,413.33
12/5/2003,419.68
12/12/2003,426.37
12/19/2003,427.76
12/26/2003,433.36
1/2/2004,450.7
1/9/2004,468.07
1/16/2004,459.11
1/23/2004,467.9
1/30/2004,457.19
2/6/2004,459.98
2/13/2004,480.05
2/20/2004,475.48
2/27/2004,477.73
3/5/2004,488.31
3/12/2004,466.8
3/19/2004,476.81
3/26/2004,466.63
4/2/2004,487.02
4/9/2004,493.89
4/16/2004,482.35
4/23/2004,478.23
4/30/2004,441.3
5/7/2004,433.52
5/14/2004,409.14
5/21/2004,419.41
5/28/2004,434.13
6/4/2004,422.33
6/11/2004,419.24
6/18/2004,417.14
6/25/2004,431.17
7/2/2004,429.97
7/9/2004,429.25
7/16/2004,428.58
7/23/2004,421.41
7/30/2004,423.14
8/6/2004,421.28
8/13/2004,421.79
8/20/2004,432.2
8/27/2004,438.12
9/3/2004,442.46
9/10/2004,450.56
9/17/2004,460.68
9/24/2004,461.29
10/1/2004,470.55
10/8/2004,481.7
10/15/2004,466.45
10/22/2004,468.15
10/29/2004,474.27
11/5/2004,490.35
11/12/2004,497.78
11/19/2004,505.8
11/26/2004,511.7
12/3/2004,520.82
12/10/2004,503.92
12/17/2004,520.91
12/24/2004,531.6
12/31/2004,542.17
1/7/2005,518.96
1/14/2005,528.16
1/21/2005,525.49
1/28/2005,535.71
2/4/2005,549.46
2/11/2005,553.84
2/18/2005,566.62
2/25/2005,581.73
3/4/2005,585.26
3/11/2005,585.03
3/18/2005,564.03
3/25/2005,548.44
4/1/2005,555.86
4/8/2005,555.44
4/15/2005,535.99
4/22/2005,537.62
4/29/2005,531.99
5/6/2005,550.78
5/13/2005,537.3
5/20/2005,544.38
5/27/2005,550.5
6/3/2005,555.79
6/10/2005,556.16
6/17/2005,569.96
6/24/2005,567.25
7/1/2005,568.16
7/8/2005,564.09
7/15/2005,582.83
7/22/2005,596.12
7/29/2005,602.56
8/5/2005,615.71
8/12/2005,621.3
8/19/2005,604.18
8/26/2005,604.76
9/2/2005,624
9/9/2005,633.59
9/16/2005,640.21
9/23/2005,640.73
9/30/2005,661.32
10/7/2005,637.9
10/14/2005,618.36
10/21/2005,607.83
10/28/2005,605.69
11/4/2005,637.38
11/11/2005,646.64
11/18/2005,657.74
11/25/2005,667.16
12/2/2005,679.1
12/9/2005,683.73
12/16/2005,689.64
12/23/2005,703.32
12/30/2005,706.48
1/6/2006,744.63
1/13/2006,756.75
1/20/2006,754.22
1/27/2006,779.37
2/3/2006,767.59
2/10/2006,771.21
2/17/2006,778.56
2/24/2006,786.06
3/3/2006,784.85
3/10/2006,752.45
3/17/2006,782.39
3/24/2006,774.14
3/31/2006,787.8
4/7/2006,814.06
4/14/2006,809.06
4/21/2006,843.6
4/28/2006,841.58
5/5/2006,870.38
5/12/2006,856.95
5/19/2006,786.47
5/26/2006,769.7
6/2/2006,767.11
6/9/2006,706.1
6/16/2006,706.75
6/23/2006,699.76
6/30/2006,747.54
7/7/2006,751.51
7/14/2006,722.67
7/21/2006,729.88
7/28/2006,755.4
8/4/2006,763.4
8/11/2006,768.47
8/18/2006,777.22
8/25/2006,766
9/1/2006,778.57
9/8/2006,770.11
9/15/2006,771.51
9/22/2006,764.86
9/29/2006,778.16
10/6/2006,783.79
10/13/2006,803.67
10/20/2006,807.13
10/27/2006,814.83
11/3/2006,826.91
11/10/2006,842.7
11/17/2006,843.76
11/24/2006,862.97
12/1/2006,875.71
12/8/2006,885.44
12/15/2006,891.64
12/22/2006,892.95
12/29/2006,912.65
1/5/2007,893.96
1/12/2007,884.53
1/19/2007,896.78
1/26/2007,901.99
2/2/2007,919.62
2/9/2007,924.16
2/16/2007,937.11
2/23/2007,940.24
3/2/2007,877.6
3/9/2007,889.33
3/16/2007,882.88
3/23/2007,923.44
3/30/2007,929.03
4/6/2007,950.45
4/13/2007,968.99
4/20/2007,979.57
4/27/2007,975.81
5/4/2007,995.29
5/11/2007,990.84
5/18/2007,1005.71
5/25/2007,1004.87
6/1/2007,1031.51
6/8/2007,1006.86
6/15/2007,1049.36
6/22/2007,1064.22
6/29/2007,1059.69
7/6/2007,1105.99
7/13/2007,1146.12
7/20/2007,1151.04
7/27/2007,1085.32
8/3/2007,1080.33
8/10/2007,1043.57
8/17/2007,957.96
8/24/2007,1039.79
8/31/2007,1086.98
9/7/2007,1088.49
9/14/2007,1107.74
9/21/2007,1161.14
9/28/2007,1204.9
10/5/2007,1246.04
10/12/2007,1276.5
10/19/2007,1263.26
10/26/2007,1311.52
11/2/2007,1310.15
11/9/2007,1278.03
11/16/2007,1245.79
11/23/2007,1186.06
11/30/2007,1242.06
12/7/2007,1282.74
12/14/2007,1224.65
12/21/2007,1215.99
12/28/2007,1247.07
1/4/2008,1225.03
1/11/2008,1213.7
1/18/2008,1136.25
1/25/2008,1111.14
2/1/2008,1120
2/8/2008,1095.36
2/15/2008,1133.82
2/22/2008,1150.3
2/29/2008,1167.66
3/7/2008,1117.5
3/14/2008,1092.54
3/21/2008,1052.01
3/28/2008,1112.76
4/4/2008,1145.21
4/11/2008,1160.36
4/18/2008,1175.85
4/25/2008,1189.01
5/2/2008,1207.46
5/9/2008,1188.61
5/16/2008,1240.31
5/23/2008,1207.96
5/30/2008,1210.04
6/6/2008,1182.84
6/13/2008,1120.02
6/20/2008,1110.48
6/27/2008,1084.79
7/4/2008,1030.32
7/11/2008,1043
7/18/2008,1022.16
7/25/2008,1024.52
8/1/2008,1029.81
8/8/2008,990.02
8/15/2008,971.89
8/22/2008,956.22
8/29/2008,956.25
9/5/2008,873.68
9/12/2008,855.47
9/19/2008,845.56
9/26/2008,823.69
10/3/2008,741.73
10/10/2008,591.9
10/17/2008,567.92
10/24/2008,473.98
10/31/2008,570.52
11/7/2008,564.76
11/14/2008,530.28
11/21/2008,467.63
11/28/2008,526.97
12/5/2008,497.51
12/12/2008,551.71
12/19/2008,582.06
12/26/2008,551.58
1/2/2009,580.96
1/9/2009,571.25
1/16/2009,537.84
1/23/2009,507.29
1/30/2009,529.53
2/6/2009,557.53
2/13/2009,554.31
2/20/2009,502.51
2/27/2009,499.3
3/6/2009,488.31
3/13/2009,527.98
3/20/2009,552.99
3/27/2009,591.32
4/3/2009,617.11
4/10/2009,636.04
4/17/2009,643.4
4/24/2009,647.84
5/1/2009,662.83
5/8/2009,725.13
5/15/2009,707.93
5/22/2009,746.42
5/29/2009,773.12
6/5/2009,786.96
6/12/2009,790.19
6/19/2009,750.47
6/26/2009,761.92
7/3/2009,766.32
7/10/2009,736.02
7/17/2009,782.68
7/24/2009,823.71
7/31/2009,844.02
8/7/2009,852.93
8/14/2009,852.74
8/21/2009,845.51
8/28/2009,851.46
9/4/2009,853.32
9/11/2009,894.3
9/18/2009,918.9
9/25/2009,908.07
10/2/2009,901.39
10/9/2009,946.29
10/16/2009,966.04
10/23/2009,967.95
10/30/2009,914.26
11/6/2009,936.36
11/13/2009,962.51
11/20/2009,965.08
11/27/2009,941.01
12/4/2009,983.32
12/11/2009,972.79
12/18/2009,950.21
12/25/2009,974.19
1/1/2010,989.47
1/8/2010,1016.41
1/15/2010,1010.77
1/22/2010,963.85
1/29/2010,933.59
2/5/2010,897.7
2/12/2010,921.75
2/19/2010,933.35
2/26/2010,935.93
3/5/2010,974.92
3/12/2010,992.68
3/19/2010,997.94
3/26/2010,993.08
4/2/2010,1028.54
4/9/2010,1044
4/16/2010,1032.08
4/23/2010,1024.07
4/30/2010,1020.03
5/7/2010,927.04
5/14/2010,959.81
5/21/2010,886.66
5/28/2010,917.05
6/4/2010,913.49
6/11/2010,917.18
6/18/2010,953.48
6/25/2010,947.56
7/2/2010,913.55
7/9/2010,951.85
7/16/2010,948.92
7/23/2010,981.42
7/30/2010,991.41
8/6/2010,1010.95
8/13/2010,980.47
8/20/2010,988.16
8/27/2010,970.04
9/3/2010,1003.75
9/10/2010,1012.98
9/17/2010,1035.94
9/24/2010,1053.27
10/1/2010,1086.09
10/8/2010,1101.27
10/15/2010,1121.43
10/22/2010,1105.19
10/29/2010,1105.75
11/5/2010,1155.94
11/12/2010,1121.17
11/19/2010,1112.02
11/26/2010,1081.06
12/3/2010,1121.78
12/10/2010,1114.79
12/17/2010,1115.42
12/24/2010,1126.83
12/31/2010,1151.38
1/7/2011,1147.14
1/14/2011,1160.03
1/21/2011,1136.65
1/28/2011,1126.29
2/4/2011,1129.69
2/11/2011,1091.16
2/18/2011,1122.01
2/25/2011,1099.46
3/4/2011,1138.47
3/11/2011,1108.52
3/18/2011,1098.6
3/25/2011,1143.94
4/1/2011,1185.12
4/8/2011,1206.03
4/15/2011,1181.57
4/22/2011,1205.96
4/29/2011,1204.03
5/6/2011,1163.34
5/13/2011,1144.69
5/20/2011,1140.55
5/27/2011,1147.82
6/3/2011,1155.51
6/10/2011,1128.85
6/17/2011,1103.74
6/24/2011,1115.67
7/1/2011,1156.74
7/8/2011,1163.93
7/15/2011,1135.6
7/22/2011,1153.18
7/29/2011,1137.73
8/5/2011,1041.07
8/12/2011,989.74
8/19/2011,970.16
8/26/2011,975.92
9/2/2011,1021.88
9/9/2011,992.31
9/16/2011,976.84
9/23/2011,861.53
9/30/2011,880.43
10/7/2011,883.9
10/14/2011,935.5
10/21/2011,920.07
10/28/2011,1010.12
11/4/2011,989.63
11/11/2011,971.15
11/18/2011,934.08
11/25/2011,877.4
12/2/2011,960.83
12/9/2011,934.18
12/16/2011,904.09
12/23/2011,927.7
12/30/2011,916.39
1/6/2012,927.06
1/13/2012,952.92
1/20/2012,995.08
1/27/2012,1016.61
2/3/2012,1048.36
2/10/2012,1042.15
2/17/2012,1062.46
2/24/2012,1067.56
3/2/2012,1079.94
3/9/2012,1060.01
3/16/2012,1063.34
3/23/2012,1041.96
3/30/2012,1041.45
4/6/2012,1036.71
4/13/2012,1027.31
4/20/2012,1021.51
4/27/2012,1019.5
5/4/2012,1012.96
5/11/2012,971.01
5/18/2012,906.61
5/25/2012,902.13
6/1/2012,893.86
6/8/2012,905.17
6/15/2012,925.22
6/22/2012,917.18
6/29/2012,937.35
7/6/2012,946.01
7/13/2012,926.13
7/20/2012,936.87
7/27/2012,941.76
8/3/2012,952.79
8/10/2012,979.25
8/17/2012,971.05
8/24/2012,965.47
8/31/2012,947.33
9/7/2012,968.82
9/14/2012,1014.07
9/21/2012,1006.6
9/28/2012,1002.66
10/5/2012,1009.16
10/12/2012,996.7
10/19/2012,1006.07
10/26/2012,990.7
11/2/2012,1004.68
11/9/2012,990.98
11/16/2012,969.82
11/23/2012,995.94
11/30/2012,1007.02
12/7/2012,1024.06
12/14/2012,1042.82
12/21/2012,1043.03
12/28/2012,1055.18
1/4/2013,1077.9
1/11/2013,1073.04
1/18/2013,1080.74
1/25/2013,1069.12
2/1/2013,1072.82
2/8/2013,1060.87
2/15/2013,1066.52
2/22/2013,1053.39
3/1/2013,1053.13
3/8/2013,1065.94
3/15/2013,1042.24
3/22/2013,1015.47
3/29/2013,1034.9
4/5/2013,1008.13
4/12/2013,1019.61
4/19/2013,1011.17
4/26/2013,1022.36
5/3/2013,1042.26
5/10/2013,1050.74
5/17/2013,1045.76
5/24/2013,1026.68
5/31/2013,1008.88
6/7/2013,980.64
6/14/2013,953.68
6/21/2013,900.54
6/28/2013,940.33
7/5/2013,917.58
7/12/2013,945.36
7/19/2013,950.47
7/26/2013,961.53
8/2/2013,955.35
8/9/2013,951.37
8/16/2013,958.11
8/23/2013,932.76
8/30/2013,929.54
9/6/2013,955.73
9/13/2013,986.84
9/20/2013,1013.17
9/27/2013,999.88
10/4/2013,1007.92
10/11/2013,1023.21
10/18/2013,1042.06
10/25/2013,1027.27
11/1/2013,1027.87
11/8/2013,995.3
11/15/2013,1005.17
11/22/2013,1009.17
11/29/2013,1018.28
12/6/2013,1002.2
12/13/2013,990.48
12/20/2013,988.26
12/27/2013,997.56
1/3/2014,979.49
1/10/2014,970.15
1/17/2014,972.27
1/24/2014,949.9
1/31/2014,936.53
2/7/2014,937.3
2/14/2014,957.31
2/21/2014,959.26
2/28/2014,966.42
3/7/2014,966.72
3/14/2014,937.69
3/21/2014,944.96
3/28/2014,984.91
4/4/2014,1002.04
4/11/2014,1015.44
4/18/2014,1011.87
4/25/2014,993.35
5/2/2014,1003.39
5/9/2014,1006.95
5/16/2014,1031.95
5/23/2014,1042.92
5/30/2014,1027.69
6/6/2014,1044.93
6/13/2014,1049.14
6/20/2014,1043.86
6/27/2014,1046.18
7/4/2014,1062.4
7/11/2014,1058.67
7/18/2014,1063.26
7/25/2014,1078.69
8/1/2014,1060.13
8/8/2014,1045.51
8/15/2014,1074.51
8/22/2014,1083.07
8/29/2014,1087.88
9/5/2014,1096.83
9/12/2014,1061.53
9/19/2014,1053.92
9/26/2014,1023.91
10/3/2014,997.27
10/10/2014,989.87
10/17/2014,976.76
10/24/2014,984.38
10/31/2014,1016.07
11/7/2014,987.65
11/14/2014,990.81
11/21/2014,1004.35
11/28/2014,1004.72
12/5/2014,985.68
12/12/2014,938.41
12/19/2014,944.6
12/26/2014,952.53
1/2/2015,953.72
1/9/2015,961.37
1/16/2015,957.46
1/23/2015,990.89
1/30/2015,961.61
2/6/2015,978.57
2/13/2015,986.65
2/20/2015,984.42
2/27/2015,990.28
3/6/2015,971.23
3/13/2015,939.56
3/20/2015,969.53
3/27/2015,958.11
4/3/2015,994.32
4/10/2015,1034.59
4/17/2015,1042.68
4/24/2015,1060.5
5/1/2015,1045.99
5/8/2015,1034.94
5/15/2015,1043.4
5/22/2015,1037.62
5/29/2015,1004.22
6/5/2015,982.14
6/12/2015,979.46
6/19/2015,974.56
6/26/2015,980.63
7/3/2015,964.31
7/10/2015,932.85
7/17/2015,941.68
7/24/2015,910.4
7/31/2015,901.68
8/7/2015,885.07
8/14/2015,863.83
8/21/2015,812.38
8/28/2015,820.25
9/4/2015,788.59
9/11/2015,802.49
9/18/2015,829.86
9/25/2015,789.15
10/2/2015,804.1
10/9/2015,859.32
10/16/2015,865.28
10/23/2015,868.56
10/30/2015,847.84
11/6/2015,852.47
11/13/2015,821.12
11/20/2015,843.48
11/27/2015,826.36
12/4/2015,812.27
12/11/2015,773.56
12/18/2015,789.71
12/25/2015,804.29
1/1/2016,794.21
1/8/2016,740.07
1/15/2016,709.19
1/22/2016,710.66
1/29/2016,742.37
2/5/2016,739.61
2/12/2016,711.24
2/19/2016,740.98
2/26/2016,740.02
3/4/2016,790.97
3/11/2016,800.91
3/18/2016,826.75
3/25/2016,812.32
4/1/2016,826.19
4/8/2016,816.82
4/15/2016,846.7
4/22/2016,845.21
4/29/2016,840.19
5/6/2016,805.34
5/13/2016,796.07
5/20/2016,785.26
5/27/2016,808.29
6/3/2016,816.18
6/10/2016,823.82
6/17/2016,806.22
6/24/2016,805.87
7/1/2016,839.25
7/8/2016,828.84
7/15/2016,867.84
7/22/2016,869.3
7/29/2016,873.47
8/5/2016,885.52
8/12/2016,910.08
8/19/2016,910.34
8/26/2016,901.39
9/2/2016,899.61
9/9/2016,909.32
9/16/2016,885.45
9/23/2016,917.5
9/30/2016,903.46
10/7/2016,914.81
10/14/2016,897.03
10/21/2016,911.24
10/28/2016,903.5
11/4/2016,880.12
11/11/2016,849.1
11/18/2016,844.53
11/25/2016,855.78
12/2/2016,853.07
12/9/2016,877.85
12/16/2016,856.4
12/23/2016,841.6
12/30/2016,862.27
1/6/2017,881.11
1/13/2017,895.98
1/20/2017,893.28
1/27/2017,915.92
2/3/2017,918.87
2/10/2017,930.16
2/17/2017,939.03
2/24/2017,943.52
3/3/2017,931.07
3/10/2017,926.14
3/17/2017,965.57
3/24/2017,969.13
3/31/2017,958.37
4/7/2017,961.61
4/14/2017,960.43
4/21/2017,961.78
4/28/2017,977.96
5/5/2017,978.27
5/12/2017,1002.37
5/19/2017,995.67
5/26/2017,1017
6/2/2017,1015.08
6/9/2017,1018.19
6/16/2017,1003.12
6/23/2017,1011.67
6/30/2017,1010.8
7/7/2017,1002.48
7/14/2017,1047.05
7/21/2017,1060.18
7/28/2017,1062.97
8/4/2017,1067.26
8/11/2017,1042.8
8/18/2017,1059.54
8/25/2017,1085.37
9/1/2017,1091.36
9/8/2017,1091.17
9/15/2017,1102.16
9/22/2017,1102.25
9/29/2017,1081.72
10/6/2017,1103.12
10/13/2017,1125.91
10/20/2017,1119.69
